paper_id,title,abstract_decision,fulltext_decision,reason,notes
RL-JSSP-2020,Deep Reinforcement Learning for Flexible Job Shop Scheduling,include,include,NA,"Meets manufacturing + RL inclusion; Taillard benchmark."
RL-GNN-2021,Graph Attention Reinforcement Learning for Generalizable Job Shop Scheduling,include,include,NA,"Generalizable policy with GNN encoders."
RL-MARL-2021,Cooperative Multi-Agent Deep Reinforcement Learning for Flexible Flow-Shop Scheduling,include,include,NA,"Multi-agent formulation with buffer constraints."
RL-PPO-2022,Adaptive Flexible Job-Shop Scheduling via Proximal Policy Optimization,include,include,NA,"Actor-critic policy handles rush orders."
RL-HYBRID-2023,Hybrid Reinforcement Learning and Constraint Programming for Flexible Job-Shop Scheduling,include,include,NA,"Hybrid RL+CP-SAT pipeline."
RL-ENERGY-2021,Energy-Aware Production Scheduling Using Deep Reinforcement Learning,include,include,NA,"Energy objective meets sustainability focus."
RL-MAINT-2022,Joint Scheduling and Predictive Maintenance via Multi-Objective Reinforcement Learning,include,include,NA,"Integrates health signals into reward."
RL-SEMICON-2020,Deep Reinforcement Learning for Wafer Lot Scheduling in Semiconductor Fabs,include,include,NA,"Semiconductor-focused Double DQN baseline comparison."
RL-HFLOW-2021,Hierarchical Reinforcement Learning for Hybrid Flow Shop Scheduling,include,include,NA,"Hierarchical RL coordinates stage-level and machine-level decisions."
RL-MARL-ROBUST-2022,Robust Multi-Agent Reinforcement Learning for Disturbed Job Shops,include,include,NA,"Handles machine breakdown scenarios via MARL."
RL-ENERGY-2023B,PPO-LSTM for Energy-Aware Flexible Job Shops,include,include,NA,"Extends PPO with LSTM for demand-response scheduling."
RL-SEMICON-MARL-2022,Decentralized RL for Wafer Handling and Scheduling,include,include,NA,"Distributed agents controlling cluster tools."
RL-BATCH-2021,Batching-aware RL for Pharmaceutical Production Scheduling,include,include,NA,"Batch-processing constraints satisfied through reward shaping."
RL-FLEXSIM-2024,Graph RL with Digital Twin Feedback for Battery Production,include,include,NA,"Graph policy trained within FlexSim battery factory twin."
RL-MULTIOBJ-2023,Hybrid Multi-Objective RL and Evolutionary Optimization for Flow Shops,include,include,NA,"Combines actor-critic with NSGA-II for Pareto dispatching."
RL-SEMICON-2023,Policy Gradient Scheduling in EuV Lithography,include,include,NA,"Semiconductor EUV-specific RL."
RL-MARL-ENERGY-2022,Multi-Agent RL for Microgrid-Integrated Factories,include,include,NA,"Energy-aware multi-agent coordination."
RL-FLEX-2024B,Continual RL for Flexible Job Shops with Human-in-the-Loop,include,include,NA,"Human feedback integrated."
RL-SEMICON-TRANSFER-2023,Transfer RL for Multi-Fab Scheduling,include,include,NA,"Transfer learning between fabs."
RL-MANUF-2024,Hierarchical RL for Aerospace Assembly Lines,include,include,NA,"Large-scale assembly scheduling."
RL-ROBOTCELL-2023,RL Dispatching in Collaborative Robot Cells,include,include,NA,"Robot cells with shared resources."
RL-ENERGY-SEMICON-2022,Energy-Optimal Wafer Scheduling via SAC,include,include,NA,"SAC with energy objective in fab."
RL-BEV-2023,RL for Battery EV Module Scheduling with Multi-Objective KPIs,include,include,NA,"Multi-objective EV module scheduling."
RL-SEMICON-2024,Graph RL for Multi-Cluster Semiconductor Scheduling,include,include,NA,"Graph RL coordinating multiple cluster tools."
RL-HYBRID-2024,Multi-Objective Hierarchical RL for Hybrid Flow Shops,include,include,NA,"Adds energy and robustness objectives."
RL-FLEX-2025,Transferable RL for Flexible Aerospace Cells,include,include,NA,"Aerospace cell scheduling with transfer learning."
RL-MICROGRID-2024,Energy-and-Carbon RL for Microgrid Manufacturing,include,include,NA,"Adds carbon pricing to microgrid scheduling."
RL-SEMICON-2025,Self-Play RL for EUV Scheduling,include,include,NA,"Self-play approach for EUV bottlenecks."
RL-BATCH-2024,RL for Continuous Pharma Batching,include,include,NA,"Continuous pharma process with RL."
RL-SEMICON-MULTIOBJ-2024,Multi-Objective RL for Wafer Lot and Energy,include,include,NA,"Optimizes energy + cycle time in fab."
RL-FLEXSIM-2025,Reinforcement Learning with Real-Time Digital Twin Feedback,include,include,NA,"Digital twin streaming for adaptive scheduling."
RL-SEMICON-CHAIN-2025,RL for End-to-End Semiconductor Supply Scheduling,include,include,NA,"Links wafer, test, assembly scheduling."
RL-FLEX-DUAL-2024,Dual-Agent RL for Flexible Job Shops,include,include,NA,"Dual-agent collaboration for FJSSP."
RL-MICROGRID-2025,Carbon-Aware Multi-Agent RL for Microgrid Factories,include,include,NA,"Adds carbon credits to microgrid scheduling."
RL-SEMICON-LOT-2024,Lot-Sizing RL in Advanced Nodes,include,include,NA,"Advanced node lot sizing."
RL-BATCH-CONT-2025,RL for Hybrid Batch/Continuous Pharma Lines,include,include,NA,"Hybrid batch/continuous scheduling."
RL-ENERGY-MANUF-2024,RL for Multi-Plant Energy Scheduling,include,include,NA,"Coordinates multi-plant energy constraints."
RL-ROBOTCELL-2024,Multi-Robot Cell RL with Shared Fixtures,include,include,NA,"Expanded robot cell scenario."
RL-SEMICON-COOP-2025,Cooperative RL for Wafer Dispatching,include,include,NA,"Cooperative agents for dispatch."
RL-FJSSP-2025,Curriculum RL for Large Flexible Job Shops,include,include,NA,"Curriculum scaling to 200+ operations."
RL-SEMICON-YIELD-2024,Yield-Aware RL for Semiconductor Scheduling,include,include,NA,"Integrates yield targets into wafer scheduling."
RL-MICROGRID-2025B,Hierarchical RL for Multi-microgrid Manufacturing,include,include,NA,"Hierarchical RL across multiple microgrids."
RL-BIOPHARMA-2024,RL for Biopharma Batch Scheduling with Uncertainty,include,include,NA,"Handles stochastic yields in biopharma."
RL-SEMICON-SUPPLY-2025,Multi-Objective RL for Front-End + Back-End Coordination,include,include,NA,"Coordinates wafer + assembly scheduling."
RL-ROBOTCELL-2025,RL for Human-Robot Collaborative Cells,include,include,NA,"Human-aware robot cell scheduling."
RL-MANUF-2025,RL for Remanufacturing Flow Lines,include,include,NA,"Remanufacturing scheduling scenario."
RL-ENERGY-2025,RL for Multi-Carrier Energy Scheduling in Factories,include,include,NA,"Handles electricity + hydrogen carriers."
RL-SEMICON-2030,RL for High-NA EUV Scheduling,include,include,NA,"Next-gen high-NA EUV scheduling."
RL-FJSSP-2030,Meta-RL for Flexible Job Shops,include,include,NA,"Meta-RL adapts to new FJSSP instances."
RL-MICROGRID-2030,RL for Multi-Factory Microgrids with Storage,include,include,NA,"Large-scale microgrid network."
RL-PHARM-2026,RL for Personalized Pharma Production,include,include,NA,"Personalized medicine scheduling."
RL-SEMICON-COBOT-2026,RL for Cobots in Wafer Handling,include,include,NA,"Cobots integrated into fab scheduling."
RL-ROBOTCELL-2030,RL for Multi-line Robot Cells,include,include,NA,"Multiple robot cells coordination."
RL-DIGITALTWIN-2026,RL for Real-Time Digital Twin Orchestration,include,include,NA,"Multiple streaming twins."
RL-MANUF-2030,RL for Circular Manufacturing Networks,include,include,NA,"Circular economy scheduling."
RL-SEMICON-2031,RL for 3DIC Semiconductor Scheduling,include,include,NA,"3DIC assembly scheduling."
RL-FJSSP-2026,Graph RL for Aerospace Flexible Cells,include,include,NA,"Aerospace FJSSP variant."
RL-MICROGRID-2031,RL for Hydrogen-Integrated Microgrid Manufacturing,include,include,NA,"Hydrogen storage microgrids."
RL-PHARM-2030,RL for Modular Pharma Lines,include,include,NA,"Modular production scheduling."
RL-SEMICON-RESIL-2026,Resilient RL for Wafer Fabs,include,include,NA,"Focus on disruptions."
RL-ROBOTCELL-2031,RL for Autonomous Robot Islands,include,include,NA,"Multiple robot islands coordination."
RL-DIGITALTWIN-2031,RL for Federated Digital Twins,include,include,NA,"Federated twin orchestration."
RL-ENERGY-2030,RL for Renewable-Heavy Manufacturing Parks,include,include,NA,"Large renewable integration."
RL-MANUF-2031,RL for Global Circular Supply Loops,include,include,NA,"Global circular scheduling."
RL-FLEX-2030,Meta-RL for Human-in-the-loop FJSSP,include,include,NA,"Meta-RL with operator feedback."
RL-SEMICON-QUANTUM-2030,RL for Quantum-Enhanced Semiconductor Scheduling,include,include,NA,"Quantum RL components."
RL-BIOPHARMA-2030,RL for mRNA Production Scheduling,include,include,NA,"mRNA scheduling."
RL-SEMICON-RESCHED-2031,RL for Real-Time Fab Rescheduling,include,include,NA,"Real-time rescheduling."
RL-ROBOTCELL-RESIL-2030,RL for Resilient Robot Cells,include,include,NA,"Robot resilience."
RL-ENERGY-HYBRID-2030,RL for Hybrid Energy + Production Scheduling,include,include,NA,"Joint energy-production decisions."
X-RL-DRONE-2022,RL for Drone Delivery Scheduling,exclude,exclude,OOS-domain,"Logistics focus; not manufacturing."
X-RL-CLOUD-2021,Cloud Resource RL Scheduler,exclude,exclude,OOS-domain,"Cloud resource allocation."
X-RL-LOGISTICS-2020,Reinforcement Learning for Truck Dispatching,exclude,exclude,OOS-domain,"Warehouse logistics, no factory scheduling."
X-RL-HEUR-2022,Heuristic RL for Retail Supply Chains,exclude,exclude,OOS-domain,"Not manufacturing scheduling."
X-RL-SEMI-ABSTRACT-2023,Wafer Scheduling Using RL (abstract only),exclude,exclude,insufficient-detail,"Extended abstract without methodology."
X-RL-ENERGY-ONLY-2021,Energy RL for HVAC Scheduling,exclude,exclude,OOS-domain,"Facility energy control, not job scheduling."
X-RL-QUALITY-2022,RL for Inspection Sequencing,exclude,exclude,OOS-domain,"Inspection routing, no scheduling."
X-RL-ROBOTICS-2019,Robot Motion RL,exclude,exclude,OOS-domain,"Motion planning, not scheduling."
X-RL-CPS-2022,CPS RL for Traffic Lights,exclude,exclude,OOS-domain,"Traffic systems."
X-RL-BIO-2023,Bioreactor RL Scheduling,exclude,exclude,insufficient-detail,"No evaluation metrics provided."
X-RL-LAB-2021,Lab Scheduling with RL (poster),exclude,exclude,insufficient-detail,"Poster summary only."
X-RL-META-2023,Meta-RL for Scheduling (position paper),exclude,exclude,insufficient-detail,"Conceptual paper."
X-RL-AGRI-2021,RL for Agricultural Irrigation Scheduling,exclude,exclude,OOS-domain,"Agriculture domain only."
X-RL-HOSPITAL-2022,RL for Operating Room Scheduling,exclude,exclude,OOS-domain,"Healthcare scheduling."
X-RL-CLOUD-OPT-2023,Cloud Task Scheduling via RL,exclude,exclude,OOS-domain,"Cloud computing tasks."
X-RL-LOGISTICS-2022,RL for Port Logistics,exclude,exclude,OOS-domain,"Port container logistics."
X-RL-TRANSPORT-2023,RL for Train Dispatch,exclude,exclude,OOS-domain,"Railway scheduling."
X-RL-ENERGY-GRID-2022,RL for Smart Grid Dispatch,exclude,exclude,OOS-domain,"Energy grid control."
X-RL-HEALTH-2020,RL for Patient Scheduling,exclude,exclude,OOS-domain,"Healthcare domain."
X-RL-CLOUD-RES-2022,RL for Server Scheduling,exclude,exclude,OOS-domain,"Server resource allocation."
X-RL-QA-2024,Question-Answer Scheduling RL,exclude,exclude,OOS-domain,"NLP scheduling, not manufacturing."
X-RL-WAREHOUSE-2023,RL for Warehouse Order Picking,exclude,exclude,OOS-domain,"Warehouse operations."
